Time_s,F1_Hz,F2_Hz,F3_Hz,F4_Hz
0.494495,1851.656156,2142.925476,3339.811500,4444.509480
0.500745,1748.879199,2347.620127,3381.181422,4603.345357
0.506995,1722.830729,2536.767743,3413.538526,4747.430418
0.513245,1759.132516,2477.856486,3537.695492,4782.744040
0.519495,1838.854819,2472.439302,3544.144713,4864.056508
0.525745,1829.472244,2549.172190,3490.974239,4837.784810
0.531995,1798.134334,2625.361678,3379.308243,4779.092504
0.538245,1798.961565,2583.638924,3492.185257,4832.711246
0.544495,1745.952718,2542.387683,3499.124599,4799.415700
0.550745,1742.067191,2498.099368,3481.487953,4857.144523
0.556995,1770.888939,2598.328309,3478.913111,4831.546676
0.563245,1727.521716,2653.191476,3467.496537,4806.078087
0.569495,343.895341,1710.250898,2319.568547,3439.456038
0.575745,381.214267,1715.050674,2407.605334,3251.593527
0.581995,516.526257,1760.612255,2511.423958,3113.318471
0.588245,602.229587,1727.028105,2632.722421,3188.690701
0.594495,575.738927,1681.772497,2708.848673,3260.552898
0.600745,573.055051,1680.560086,2568.866134,3332.571382
0.606995,583.096679,1673.616786,2589.355366,3412.279270
0.613245,565.078307,1650.970090,2706.898240,3413.480263
0.619495,576.607460,1677.798121,2680.448149,3363.373433
0.625745,627.737416,1640.068398,2562.190571,3393.416651
0.631995,638.879329,1652.398913,2624.389576,3364.994992
0.638245,622.978126,1671.079046,2497.904921,3471.900711
0.644495,603.284782,1631.086156,2483.179125,3515.013555
0.650745,621.836644,1620.123359,2523.942836,3437.796940
0.656995,631.204052,1630.086226,2600.873984,3268.087229
0.663245,628.618750,1672.561956,2583.110939,3237.036954
0.669495,651.400633,1708.916759,2603.223448,3271.219913
0.675745,666.456100,1723.429889,2651.651861,3326.162197
0.681995,678.418725,1685.903317,2722.178582,3381.141438
0.688245,683.286521,1692.564564,2722.483745,3373.701516
0.694495,695.224950,1686.510814,2728.434790,3378.786909
0.700745,702.030976,1709.854551,2715.776069,3368.698780
0.706995,706.539246,1730.102851,2691.831617,3344.613665
0.713245,710.298307,1739.089920,2689.589867,3323.109005
0.719495,709.976362,1740.955732,2670.200304,3338.493449
0.725745,706.262933,1724.776182,2619.541041,3386.880576
0.731995,704.596707,1734.080046,2584.613030,3390.312629
0.738245,702.983988,1780.861220,2562.962545,3396.590148
0.744495,697.533714,1803.733111,2444.929467,3411.341145
0.750745,692.671272,1812.908319,2450.286046,3369.415321
0.756995,689.359377,1791.084963,2564.869953,3374.089952
0.763245,684.521926,1795.963166,2586.247237,3452.947666
0.769495,678.409756,1810.374530,2665.689921,3434.298597
0.775745,667.502836,1787.173828,2556.430475,3356.182424
0.781995,662.100274,1791.252999,2526.725165,3313.217127
0.788245,654.037593,1831.972055,2546.976364,3311.993748
0.794495,631.887775,1857.495740,2490.866920,3407.132595
0.800745,597.016454,1759.895928,2445.193088,3395.039185
0.806995,571.745302,1807.512136,2484.129023,3348.868638
0.813245,560.449989,1946.004093,2488.109764,3294.418787
0.819495,547.161169,2004.697779,2191.187210,3295.324015
0.825745,506.352261,1959.954036,2145.191806,3286.095516
0.831995,454.899466,1950.280402,2191.057026,3286.694885
0.838245,444.539004,1960.679337,2193.325336,3256.183128
0.844495,461.073798,1966.027684,2095.037518,3208.563876
0.850745,460.454003,1908.153024,2080.200719,3155.952787
0.856995,450.284464,1870.664020,2225.268897,3128.069256
0.863245,437.073660,1832.209077,2411.723688,2996.445717
0.869495,408.041168,1810.556653,2547.967328,2875.759371
0.875745,382.019391,1810.310787,2851.129308,2873.343987
0.881995,375.251260,1795.246726,2816.402664,2909.550124
0.888245,384.580955,1739.378094,2659.925067,2991.252203
0.894495,412.344134,1731.292392,2886.029527,2975.814955
0.900745,456.671716,1748.930470,2879.606844,3466.902201
0.906995,481.309152,1795.035861,2841.411757,3813.292731
0.913245,485.052230,1917.191983,2647.792417,3608.681930
0.919495,475.194725,1895.695011,2627.427498,3630.931284
0.925745,470.361051,1856.993907,2651.850384,3580.305083
0.931995,458.385118,1879.455675,2704.567622,3492.536752
0.938245,424.211843,1843.804257,2644.274143,3662.148902
0.944495,413.758665,1826.985916,2643.814064,3670.425791
0.950745,379.230000,1782.177998,2538.819107,3523.702607
0.956995,385.191176,1751.711704,2555.762358,3593.817450
0.963245,412.595655,1717.342620,2582.360485,3755.631185
0.969495,421.396434,1690.475286,2488.687718,3685.671923
0.975745,422.477903,1770.395154,2424.432625,3668.802343
0.981995,379.303870,1845.163623,2520.880007,3663.255262
0.988245,413.223026,1876.369110,2512.432068,3682.006669
